Flight #,From Airport,To Airport,depart time,arrive time,price,# seats,Airline
98,"	ABQ", LAM," 	485",502," 	27.0"," 	10","	FlapWing"
100,"	ABQ", LAM," 	563",580," 	27.0"," 	10","	FlapWing"
90,"	ABQ", LAS," 	600",676," 	112.56"," 	10","	Basalt"
92,"	ABQ", LAS," 	879",955," 	112.56"," 	10","	Basalt"
94,"	ABQ", SFW," 	480",496," 	25.67"," 	10","	Invertical"
96,"	ABQ", SFW," 	574",590," 	25.67"," 	10","	Invertical"
470,"	ALW", GEG," 	480",503," 	65.0"," 	10","	Acne"
817,"	ALW", OLM," 	455",501," 	70.0"," 	10","	Acme"
819,"	ALW", OLM," 	569",615," 	70.0"," 	10","	Acme"
954,"	ALW", SEA," 	553",596," 	64.11"," 	10","	Basalt"
121,"	ANC", FAI," 	800",842," 	63.78"," 	10","	Knight"
123,"	ANC", FAI," 	908",950," 	63.78"," 	10","	Knight"
61,"	ANC", SEA," 	721",969," 	360.22"," 	10","	Basalt"
489,"	ANC", YXE," 	410",760," 	508.22"," 	10","	Acne"
322,"	ATL", DFW," 	724",831," 	157.44"," 	10","	Invertical"
270,"	ATL", IND," 	546",605," 	87.67"," 	10","	Basalt"
155,"	ATL", JFK," 	955",1063," 	158.56"," 	10","	Acme"
157,"	ATL", JFK," 	1395",1503," 	158.56"," 	10","	Acme"
805,"	ATL", MIA," 	355",433," 	115.56"," 	10","	Acne"
807,"	ATL", MIA," 	734",812," 	115.56"," 	10","	Acne"
809,"	ATL", MIA," 	1113",1191," 	115.56"," 	10","	Acne"
368,"	ATL", MSY," 	790",853," 	93.44"," 	10","	BumbleBee"
139,"	ATL", PDX," 	1845",2163," 	461.44"," 	10","	BumbleBee"
141,"	ATL", PDX," 	2657",2975," 	461.44"," 	10","	BumbleBee"
762,"	BOI", GEG," 	560",603," 	64.33"," 	10","	Basalt"
466,"	BOI", SEA," 	565",631," 	97.22"," 	10","	Acne"
750,"	BOI", YKM," 	550",600," 	75.44"," 	10","	Basalt"
752,"	BOI", YKM," 	697",747," 	75.44"," 	10","	Basalt"
359,"	BTM", DEN," 	481",567," 	127.22"," 	10","	Acme"
548,"	BTM", FAR," 	927",1058," 	191.56"," 	10","	Knight"
912,"	BTM", YXE," 	594",669," 	111.44"," 	10","	Basalt"
360,"	DEN", BTM," 	634",720," 	127.22"," 	10","	Acme"
960,"	DEN", EWR," 	1312",1557," 	356.0"," 	10","	BumbleBee"
17,"	DEN", PDX," 	722",877," 	226.0"," 	10","	Knight"
777,"	DEN", SLC," 	689",756," 	98.89"," 	10","	Knight"
321,"	DFW", ATL," 	490",597," 	157.44"," 	10","	Invertical"
755,"	DTW", IND," 	430",470," 	59.89"," 	10","	Invertical"
167,"	DTW", JFK," 	470",555," 	124.78"," 	10","	Basalt"
172,"	DTW", MKE," 	440",485," 	68.11"," 	10","	Basalt"
959,"	EWR", DEN," 	1000",1245," 	356.0"," 	10","	BumbleBee"
122,"	FAI", ANC," 	853",895," 	63.78"," 	10","	Knight"
907,"	FAI", YXE," 	666",1007," 	495.44"," 	10","	Invertical"
547,"	FAR", BTM," 	777",908," 	191.56"," 	10","	Knight"
471,"	GEG", ALW," 	532",555," 	65.0"," 	10","	Acne"
763,"	GEG", BOI," 	632",675," 	64.33"," 	10","	Basalt"
178,"	GEG", OLM," 	590",642," 	77.11"," 	10","	Basalt"
527,"	GEG", SEA," 	456",503," 	70.11"," 	10","	BumbleBee"
529,"	GEG", SEA," 	652",699," 	70.11"," 	10","	BumbleBee"
208,"	HNL", LAX," 	789",1118," 	478.0"," 	10","	BumbleBee"
